,LotDescription,Parent#,Revenue,ParentID,LotID
75,SP24 - Grey/blue Stripe Woven Shirts,B00O97342G,10047.470000000001,571,907.0
76,SP24 - Grey Woven Shirts,B00O9734IK,9981.460000000001,572,906.0
77,JT38 - Black Outerwear,B00O971RDY,9823.880000000001,499,335.0
78,PT10 - Navy Pants,B00O4UYXA0,9783.070000000002,404,476.0
79,SP14 - Navy With Yellow/Green Visibility Trim Woven Shirts,B00O972ZNK,9695.720000000001,563,858.0
80,JP66 - Black Outerwear,B00O971PCW,9647.68,496,325.0
81,CT10 - Brown Coveralls,B00O971DVA,9327.11,485,271.0
82,PEW2KH 50 34 - Khaki Flame Resistant Bottoms,B00HUA5A26,9286.41,346,452.0
83,CNBTRB LN 58 - Royal Blue Flame Resistant Bottoms,B00HUA34OC,9230.1,322,262.0
84,PT20 - White Pants,B00O4UYXSC,9196.759999999998,407,489.0
85,PT20 - Navy With Yellow/Green Visibility Trim Pants,B00O9Z1JMU,9139.65,621,487.0
86,KP72 - White Outerwear,B00O972BGQ,9083.900000000001,526,379.0
87,WP80 - Navy Pants,B00O4VXWZG,8897.220000000001,421,1115.0
88,WP80 - Charcoal Pants,B00O4VXWZG,8869.570000000002,421,1113.0
89,ST62 - Black Uniforms Tops,B00O973MDC,8646.6,597,1041.0
90,CP40 - Medium Blue Coveralls,B00O971DU6,8603.05,484,267.0
91,PT88 - Black Pants,B00O4UZCU0,8526.34,418,565.0
92,PT10 - Black Pants,B00O4UYXA0,8454.06,404,472.0
93,PNW2NV 48 30 - Navy Flame Resistant Bottoms,B00HUA5WW4,8407.150000000001,351,463.0
94,JEW2NV LN XXL - Navy Flame Resistant Outerwear,B00HUA3GG8,8256.33,325,313.0
95,PT20 - Spruce Green Pants,B00O4UYXSC,8215.060000000001,407,488.0
96,CC14 - Navy Coveralls,B00O971BKI,8184.290000000001,478,214.0
97,CC14 - Orange Coveralls,B00O971BKI,8165.48,478,215.0
98,SMH6NV RG S - Navy Flame Resistant Tops,B00JIJHZLQ,8071.76,384,801.0
99,CP30 - Navy Coveralls,B00O971DN8,7895.389999999999,483,266.0
100,SP24 - White Woven Shirts,B00O9734IK,7893.87,572,930.0
101,PD60 - Prewashed Black Jeans,B00O4UYUF8,7848.369999999999,402,436.0
102,KP18 - White Outerwear,B00O972BJ8,7730.030000000001,528,372.0
103,SP28 - Silver/black Woven Shirts,B00O973B24,7655.469999999999,581,941.0
104,KP43P - Navy Hospitality,B00SBHMCFA,7597.349999999999,636,374.0
105,KP44 - Navy Outerwear,B00O972BPW,7464.41,530,376.0
106,PT88 - Charcoal Pants,B00O4UZCU0,7407.39,418,566.0
107,DP23 - Light Blue Hospitality,B00SBHLZU8,7377.03,630,282.0
108,PT20 - Khaki Pants,B00O4UYXSC,7326.140000000002,407,485.0
109,CNB6RB LN 52 - Royal Blue Flame Resistant Bottoms,B00HUA2YKC,7301.73,321,261.0
110,PD54 - Prewashed Indigo Jeans,B00O4UYU62,7295.929999999999,399,434.0
111,SP14 - Charcoal Woven Shirts,B00O972ZAI,7263.4,561,839.0
112,SP24 - Petrol Blue Woven Shirts,B00O9734IK,7230.099999999999,572,924.0
113,ST62 - Navy Uniforms Tops,B00O973MDC,7194.210000000001,597,1044.0
114,SP80 - Black Woven Shirts,B00O973E2G,7030.82,586,971.0
115,SK52 - Burgundy/Black Knit Tops,B00O9OQIA4,6927.049999999999,616,715.0
116,SEL2NV RG 4XL - Navy Flame Resistant Tops,B00HRFUX80,6910.89,308,666.0
117,SP14 - Grey With Yellow/Green Visibility Trim Woven Shirts,B00O972ZNK,6642.719999999999,563,845.0
118,SP14 - Light Blue Woven Shirts,B00O972ZAI,6641.76,561,851.0
119,SR71 - White Hospitality,B00SBHNFF6,6576.830000000001,657,1021.0
120,1T11 - Black Industrial,B00SBHLMNI,6368.210000000001,623,121.0
121,SP14 - Black Woven Shirts,B00O972ZAI,6318.46,561,836.0
122,PT10 - Charcoal Pants,B00O4UYXA0,6217.869999999999,404,474.0
123,CC14 - Herringbone Coveralls,B00O971BKI,6214.59,478,213.0
124,SP24 - Light Blue Woven Shirts,B00O9734IK,6126.81,572,910.0
125,PD80 - Stonewash Jeans,B00O4UYUAS,6124.21,400,441.0
126,CT30 - Navy Coveralls,B00O971G1W,6123.860000000001,488,281.0
127,WS20 - Navy Woven Shirts,B00O4VY36I,6076.120000000001,426,1142.0
128,SY20 - Charcoal/Blue Woven Shirts,B00O973OM6,6019.48,600,1053.0
129,PT4A - Charcoal Shorts,B00O4UZ4TE,5888.73,413,530.0
130,JT22 - Brown Outerwear,B00O971MHK,5811.22,494,330.0
131,2020 - Black/white Check Uniforms Bottoms,B00O7PBM6A,5800.149999999999,429,140.0
132,SLG8HN RG 3XL - Hunter/Navy Plaid Flame Resistant Tops,B00JIJHY4E,5776.2300000000005,382,781.0
133,5028 - White Uniforms Tops,B00O7PC584,5766.28,455,168.0
